,Passenger,Campervan,Light Commercial,Light Rigid,Heavy Rigid,Articulated Trucks,Non-Freight Carrying,Buses,Motorcycles,Total
2014-2015,0.01770824247028903,0.026456310679611652,0.025815021270591442,0.02223336676696757,0.0008931305501684189,0.002030106867889838,0.012982900569981,0.010650766957142128,0.026208012114537445,0.018785223967890063
2015-2016,0.02364443724759654,0.033971782139197604,0.03086817940350611,0.024006541291905152,0.013512479922494455,0.023662079510703364,0.023757424195060956,0.02369907220653489,0.03545457086163047,0.024965001311492926
2016-2017,0.022904373511013893,0.0354474767495045,0.03617373700193246,0.055287616979143375,0.024576761502276556,0.025878486874043094,0.00900763358778626,0.01595901881588021,0.021425332527206773,0.02494159254076346
2017-2018,0.0233700503721653,0.04616064197894427,0.0409765455013721,0.07887409200968523,0.021765283574760617,0.03581828771112405,0.03994552882433046,0.02118685154659168,0.015384452771156926,0.026038448159760006
2018-2019,0.018091869145753937,0.04032371569317382,0.03951997042471811,0.06115693205408741,0.03448151574495693,0.025864492549901603,0.0379746835443038,0.017518871955561885,0.019008161225849432,0.021912106197969055
2019-2020,0.014394104574400676,0.03280795508354191,0.030443834087464643,0.09654734838470894,0.024064202176463073,0.02802137571937517,0.04653770675637791,0.019643523702874206,0.012110532230054143,0.017621875662157074
